artist_id,ME,Pred
6d4ecd79fd8a64039ecbfcce36019218,981.742628949,980.72521472
6d85b7be5eaab7de6c250113b3ee775b,613.844531062,615.86047368
6f1a2eabf040ff045b5d058a1b305fa1,244.616818173,235.638082667
72ee45a296bcb2f6c4d2c882413931a1,384.213108251,381.0586556
748c834ae76cb06743b9032fae099739,1512.94919126,1367.70910304
754c3490c2850474f8e7415dc2e5db4a,455.257298876,456.814796048
75808a38c82695330edc632d562a0238,387.693993152,408.145292952
76e5916bb2b6201c64d662c2063896c4,629.842892098,629.685073798
7814ae9f20f9800f98042dc1471806f0,389.231454691,391.379190552
7936e1a5c817767e4d825f3aed4b6d40,518.568773103,516.081874144
7cad643081408435dbff32dbfbcbd146,326.956075346,324.908837793
7cb5fa0c36a1c86966b899b5647cb660,319.597470479,314.403845664
7d38b55417160cfaf1fd91098fb7e9b7,578.749784395,577.060373335
7d5dbc7107ef12c360c6fabfd987c469,957.642210633,962.765084032
7df229720fbae50168ec7be5d832b7a9,360.984109524,417.942578222
7f14e403733e30c445584ee41f23a4b7,98.1604484157,105.445711731
7fc7e41737fafcb0cb54ad48b9a0bb05,1346.22148353,1275.11683881
82131690af634e8d594795019344f3f8,651.043245531,651.043245531
848fd0b05e0900730681f718de3f87a9,637.862976287,637.521904371
8565a1adf987304938ef97eea24031dd,140.94680086,140.94680086
85cc9c4a164cea1153e096c37787faf1,149.287933707,149.287933707
86d7ad1bae4dc708a90d5caca3289f01,971.685214264,1096.92236283
898d91754105d87b8581522b5d9bfee1,1348.34184351,1307.81726689
89fb81631104c38d8eef4bfcb2c60230,982.67571992,981.47840955
8a3c1460bff54a5a81615036f80b2d5b,337.107987189,335.56681975
8b3921d1acb84cc89b18d96103964c17,501.059954797,501.059954797
8b94a7a93fceb8d920cedda8bd717f8f,322.405430252,326.272230745
8c2cd6f251ead1a7b33d1b9bd1ffee23,200.733230202,200.733230202
8ce69d477ff6f1f7242ba0e941a53508,529.450236011,530.158434203
8e002d6fba083ffd5d576d0256a9451e,535.909522332,524.68924992
8ebfed7bff773dc6eabe889a779279d4,406.856290586,439.0501885
